MATERIAL DESCR.,,,COMPONENT,COMPONENT DESCR.,,,,
Chlorpyrifos 48% EC 1 LTR,,,PMACCS0066,CAP PP PET BOTTLE 46 MM WHITE NEUTRAL,,,,
Chlorpyrifos 48% EC 1 LTR,,,PMCFBP0021,CFB 1 LTR x12 PET BOTTLE,,,,
Chlorpyrifos 48% EC 1 LTR,,,PMLABL0371,LABEL CUSTOMER CFB,,,,
Chlorpyrifos 48% EC 1 LTR,,,PMLABL1006,ROLL LABEL CUSTOMER 1L PET BOTTLE,,,,
Chlorpyrifos 48% EC 1 LTR,,,PMPBOT0017,BOTTLE PET AMBER TRANS 1000 ML WT 67GM,,,,
Chlorpyrifos 48% EC 1 LTR,,,PMSLEV0013,SHRINK SLEEVE PET BOTTLE 1 LTR,,,,
,,,,,,,,
,,,,,,,,
Chlorpyrifos 48% EC 20 Ltr,,,FGCPF48EC00001,Chlorpyrifos 48 % EC,,,,
Chlorpyrifos 48% EC 20 Ltr,,,PMFBOT0008,"U-SHAPE FLUORI HDPE CARBOY 20L,WT-1.8KG",,,,
,,,,,,,,
,,,,,,,,
Chlropyrifos 50 % EC,,,730201,EPOXYLATED SOYA OIL,,,,
Chlropyrifos 50 % EC,,,730225,CABS 50 PER - CALCIUM SALT,,,,
Chlropyrifos 50 % EC,,,730460,SP 20,,,,
Chlropyrifos 50 % EC,,,750770,SOLVENT C-9,,,,
Chlropyrifos 50 % EC,,,FGCPF98CM283KG,Chlorpyrifos Tech 98% 283.5 Kg comp drum,,,,
Chlropyrifos 50 % EC,,,FGCPF98LQ283KG,Chlorpyrifos Tech 98% 283.5 Kg MS LQ drm,,,,
,,,,,,,,
,,,,,,,,
Chlorpyrifos  50% EC 200 Ltr -Ecoguard,,,FGCPF40EC00001,Chloropyriphos 40.8% EC,,,,
Chlorpyrifos  50% EC 200 Ltr -Ecoguard,,,FGCPF50EC00001,Chlropyrifos 50 % EC,,,,
Chlorpyrifos  50% EC 200 Ltr -Ecoguard,,,PMMDRM0018,DRUM MS LACQ TM2409 200 LTR INDIA GREEN,,,,
,,,,,,,,
,,,,,,,,
